,0
0,0.631310987
1,0.029803088
2,0.810266304
3,0.002597986
4,0.431662083
5,0.17183311
6,0.727357531
7,0.767258739
8,0.704325962
9,0.158669186
10,0.012673219
11,0.462524939
12,0.449880743
13,0.886783981
14,0.780561495
15,0.967642307
16,0.974808502
17,0.979273891
18,0.967787266
19,0.972224903
20,0.969011307
21,0.903328991
22,0.905149174
23,0.833505821
24,0.821932793
25,0.423226833
26,0.735029888
27,0.784375858
28,0.82975626
29,0.696846867
30,0.692781925
31,0.842259026
32,0.156298661
33,0.78955884
34,0.861176777
35,0.845953465
36,0.737009859
37,0.797999191
38,0.908636761
39,0.834702873
